Thermalright 120mm fan 5 pack,https://www.amazon.com/Thermalright-TL-C12C-X5-Computer-1550RPM/dp/B0D9Y8HFYN/ref=sr_1_9?crid=2LNZRFILWGGZ1&dib=eyJ2IjoiMSJ9.Ttst_xVQfrZCquT6BXoML3MOTiGaSRQ4wTJr-c-h3nYgazKvinVJLuJ_eGc54Nvsw2-Zn0FvO2uXVLNJybSSECmxOKuTTWNMQt1yQyzTBkcyLkkGzHPJlqW4gKCs5QppuhaOeHuiLEL0e0s8nObFzATLZzXJLWiVCZC72Czi5ABmUCtoM86awbxPd8ELSXkCIHkfieKO--u5kKHJ762FPgth-Od55wBcTq8OJs8h1Pg.Ggvv8IqqEOu3QG9KeyF_ErVrDdgsNTp-3pMqLIxOxjk&dib_tag=se&keywords=120mm+fan&qid=1753146236&sprefix=120mm+fan%2Caps%2C114&sr=8-9#averageCustomerReviewsAnchor,16.59,x5,Total:,56.57
M3x10mmx4+M3x30mmx16,https://www.amazon.com/Bemaka-2135PCS-Assortment-Washers-Printing/dp/B0DLG66LP6/ref=sr_1_25?crid=3QLINFDT38I02&dib=eyJ2IjoiMSJ9.OV5qdRRIyiuJdLcc0dkBvcfZS_sw5CPENBr4XoNZAZiuChoVuyayNYgW3gLMFd4Dk1WVlE8bYPXsEC_OtHYwYVStNXgltQD7ZklrAPf89mamuJoxs49ls3k75SWdTOYEH140A98pJ-E2emQf2CUzPdm-r6Rtv5zwWBh2OPIxAG-fmF_e0RmyQ-HgOQaGcXz9.F1-RvcZ39FdM9h1sZZ2twyKQDccrX9MfpN2RfJxrhQI&dib_tag=se&keywords=m3x10mm&qid=1753064434&sprefix=m3x10mm%2Caps%2C113&sr=8-25&xpid=9yshcme0K2tQZ&th=1,19.99,x1,,
Owltree Fan Splitter,https://www.amazon.com/Controller-Splitter-15-18W-1-2-1-5A-Output/dp/B0DPZM7T3Q#averageCustomerReviewsAnchor,19.99,x1,,
m3 heatset inserts,,Have my own,,,
Printed Parts,,Print my own,,,
