Arctic 120mm Fan 5 Pack,https://www.amazon.com/ARCTIC-ACFAN00137A-Value-Pack-Pressure-Optimized/dp/B07HC782D5/ref=sr_1_10?crid=11AK1TSXNINS9&dib=eyJ2IjoiMSJ9.Ttst_xVQfrZCquT6BXoML3Jv0yQpyy8xgj69WePdGGE9Qmm8dEgHWckW5Q2IOVAHFU1HFyGj19JO2Hw_rg-HTSC24L9eGwy_4UrlgtJNIQOKi8gaREntZZdz0-q7GYdsOezke4Ectjkk9xu_l_1vvN89TgOqWIRyXj3sRkXcBguseBxtewsVw3ileCvRgn23KYTDfUjoVPzP_Q7nBXoMnHIXcUO5Jb_lCxY8V6spbRi3XYtIOcYT58yCOdY-8mDI30-M4nMFbDX2v-FtNd4cSlopsSEJm0BQc3J51e1UD1U.apcZrvRSHqG3QF9sEedJI_3ZRg_HEVoShkgt6Mvss08&dib_tag=se&keywords=120mm+case+fan&qid=1752539925&s=industrial&sprefix=120mm+case+fan%2Cindustrial%2C108&sr=1-10,30.99,x5,Total:,69.97
M3x10mmx4+M3x30mmx16,https://www.amazon.com/Bemaka-2135PCS-Assortment-Washers-Printing/dp/B0DLG66LP6/ref=sr_1_25?crid=3QLINFDT38I02&dib=eyJ2IjoiMSJ9.OV5qdRRIyiuJdLcc0dkBvcfZS_sw5CPENBr4XoNZAZiuChoVuyayNYgW3gLMFd4Dk1WVlE8bYPXsEC_OtHYwYVStNXgltQD7ZklrAPf89mamuJoxs49ls3k75SWdTOYEH140A98pJ-E2emQf2CUzPdm-r6Rtv5zwWBh2OPIxAG-fmF_e0RmyQ-HgOQaGcXz9.F1-RvcZ39FdM9h1sZZ2twyKQDccrX9MfpN2RfJxrhQI&dib_tag=se&keywords=m3x10mm&qid=1753064434&sprefix=m3x10mm%2Caps%2C113&sr=8-25&xpid=9yshcme0K2tQZ&th=1,19.99,x1,,
Owltree Fan Splitter,https://www.amazon.com/Controller-Splitter-15-18W-1-2-1-5A-Output/dp/B0DPZM7T3Q#averageCustomerReviewsAnchor,19.99,x1,,
m3 heatset inserts,,Have my own,,,
Printed Parts,,Print my own,,,
